Pixel,K_3_0,K_5_0,K_7_0,K_3_25,K_5_25,K_7_25,K_3_50,K_5_50,K_7_50,K_3_100,K_5_100,K_7_100
13008,0,0,0,0,1,4,1,1,5,1,0,6
13009,1,0,5,2,1,6,0,1,3,0,0,0
13010,1,3,6,2,2,5,0,3,0,0,1,2
13011,1,3,6,2,2,5,0,3,0,0,1,2
13012,1,3,6,2,2,5,0,3,0,0,1,2
13013,1,3,6,2,2,5,0,3,0,0,1,2
13014,1,3,6,2,2,5,0,3,0,0,1,2
13015,1,3,6,2,2,5,0,3,0,0,1,2
13016,0,3,6,0,2,5,1,3,0,1,1,2
13017,0,0,0,0,1,4,1,1,5,1,0,6
13018,0,4,0,0,0,4,1,0,5,1,4,6
13019,0,0,0,0,0,4,1,0,5,1,4,6
13020,0,0,0,0,1,4,1,1,5,1,0,6
13021,0,0,0,0,1,4,1,1,5,1,0,6
13022,0,0,0,0,1,4,1,1,5,1,0,6
13023,1,0,5,2,1,6,0,1,3,0,0,0
13024,1,2,5,2,4,6,0,2,3,0,2,0
13025,1,3,6,2,2,5,0,3,0,0,1,2
13026,1,3,6,2,2,5,0,3,0,0,1,2
13027,1,3,5,2,2,6,0,3,3,0,1,0
13028,1,3,6,2,2,5,0,3,0,0,1,2
13029,1,3,6,2,2,5,0,3,0,0,1,2
13030,1,0,5,2,1,6,0,1,3,0,0,0
13031,0,4,3,0,0,4,1,0,5,1,4,6
13032,2,1,3,1,3,1,2,4,6,2,3,1
13033,2,1,3,1,3,1,2,4,6,2,3,1
13034,0,4,3,1,0,1,2,0,6,2,4,1
13035,0,0,0,1,0,4,1,0,5,2,4,6
13036,0,0,0,0,1,4,1,1,5,1,0,6
13037,0,0,0,0,1,4,1,1,5,1,0,6
13038,2,1,3,1,3,1,2,4,6,2,3,1
13039,2,1,3,1,3,3,2,4,4,2,3,4
13040,0,4,3,1,0,1,2,0,6,2,4,1
13041,0,0,0,0,1,4,1,1,5,1,0,6
13042,0,0,0,0,1,4,1,1,5,1,0,6
13043,0,4,0,0,0,4,1,0,5,1,4,6
13044,2,1,3,1,0,1,2,0,6,2,4,1
13045,2,1,3,1,3,1,2,4,6,2,3,1
13046,2,4,3,1,0,1,2,0,6,2,4,1
13047,2,4,3,1,0,1,2,0,6,2,4,1
13048,2,1,3,1,3,1,2,4,6,2,3,1
13049,2,1,3,1,3,1,2,4,6,2,3,1
13050,2,1,3,1,3,1,2,4,6,2,3,1
13051,2,1,2,1,3,3,2,4,4,2,3,4
13052,2,1,2,1,3,3,2,4,4,2,3,4
13053,2,1,2,1,3,3,2,4,4,2,3,4
13054,2,1,2,1,3,3,2,4,4,2,3,4
13055,2,1,3,1,0,1,2,0,6,2,4,1
13056,0,4,3,0,0,1,1,0,6,1,4,1
13057,2,4,3,0,0,1,1,0,6,1,4,1
13058,2,4,3,0,0,1,1,0,6,1,4,1
13059,2,4,3,1,0,1,2,0,6,2,4,1
13060,2,4,3,1,0,1,2,0,6,2,4,1
13061,2,4,3,0,0,1,1,0,6,1,4,1
13062,2,4,3,0,0,1,1,0,6,1,4,1
13063,2,1,3,1,0,1,2,0,6,2,4,1
13064,2,1,2,1,3,1,2,4,6,2,3,1
13065,0,4,3,0,0,1,1,0,6,1,4,1
13066,0,0,0,0,1,4,1,1,5,1,0,6
13067,0,0,0,0,1,4,1,1,5,1,0,6
13068,0,0,0,0,1,6,1,1,3,1,0,0
13069,1,0,5,2,1,6,0,1,3,0,0,0
13070,1,2,1,2,4,2,0,2,2,0,2,5
13071,1,0,5,2,1,6,0,1,3,0,0,0
13072,2,4,3,0,0,1,1,0,6,1,4,1
13073,0,4,4,0,0,0,1,0,1,1,4,3
13074,0,4,4,0,0,0,1,0,1,1,4,3
13075,0,0,0,0,1,4,1,1,5,1,0,6
13076,0,0,0,0,1,6,1,1,3,1,0,0
13077,0,0,0,0,1,6,1,1,3,1,0,0
13078,0,0,0,0,1,6,1,1,3,1,0,0
13079,0,0,0,0,1,6,1,1,3,1,0,0
13080,0,0,0,0,1,4,1,1,5,1,0,6
13081,0,4,4,0,1,0,1,1,1,1,0,3
13082,0,0,0,0,1,0,1,1,5,1,0,6
13083,0,0,0,0,1,4,1,1,5,1,0,6
13084,0,0,0,0,1,6,1,1,3,1,0,0
13085,0,0,0,0,1,4,1,1,5,1,0,6
13086,0,4,0,0,1,0,1,1,1,1,0,3
13087,0,4,0,0,1,4,1,1,5,1,0,6
13088,0,4,4,0,0,0,1,0,1,1,4,3
13089,0,4,4,0,0,4,1,0,5,1,4,6
13090,0,0,5,0,1,6,1,1,3,1,0,0
13091,1,2,5,2,4,2,0,2,2,0,2,5
13092,1,2,5,2,4,6,0,2,3,0,2,0
13093,1,2,5,2,4,2,0,2,2,0,2,5
13094,1,2,1,2,4,2,0,2,2,0,2,5
13095,1,2,1,2,4,2,0,2,2,0,2,5
13096,1,0,5,2,1,6,0,1,3,0,0,0
13097,0,0,0,0,1,6,1,1,3,1,0,0
13098,0,0,5,2,1,6,0,1,3,0,0,0
13099,0,4,0,0,0,4,1,0,5,1,4,6
13100,0,0,0,0,0,4,1,0,5,1,4,6
13101,0,4,0,0,0,4,1,0,5,1,4,6
13102,0,4,0,0,0,4,1,0,5,1,4,6
13103,0,4,4,0,0,4,1,0,5,1,4,6
13104,0,4,4,0,0,0,1,0,1,1,4,1
13105,0,4,3,0,0,4,1,0,5,1,4,6
13106,0,4,3,0,0,1,1,0,6,1,4,1
13107,2,4,4,0,0,0,1,0,1,1,4,3
13108,0,0,4,0,1,0,1,1,1,1,0,3
13109,1,2,5,2,4,6,0,2,3,0,2,0
13110,1,0,5,2,1,6,0,1,3,0,0,0
13111,1,0,5,2,1,6,0,1,3,0,0,0
13112,1,2,5,2,4,6,0,2,3,0,2,0
13113,1,2,1,2,4,2,0,2,2,0,2,5
13114,1,2,1,2,4,2,0,2,2,0,2,5
13115,1,2,5,2,4,2,0,2,2,0,2,5
13116,0,0,0,0,1,4,1,1,5,1,0,6
13117,0,4,0,0,0,4,1,0,5,1,4,6
13118,0,4,4,0,0,0,1,0,1,1,4,3
13119,0,0,0,0,1,6,1,1,3,1,0,0
13120,1,2,1,2,4,2,0,2,2,0,2,5
13121,0,0,0,0,1,4,1,1,5,1,0,6
13122,0,0,0,0,1,6,1,1,3,1,0,0
13123,1,0,5,2,1,6,0,1,3,0,0,0
13124,0,0,0,0,1,4,1,1,5,1,0,6
13125,1,2,1,2,4,2,0,2,2,0,2,5
13126,1,2,1,2,4,2,0,2,2,0,2,5
13127,1,2,1,2,4,2,0,2,2,0,2,5
13128,1,2,1,2,4,2,0,2,2,0,2,5
13129,1,2,1,2,4,2,0,2,2,0,2,5
13130,1,2,1,2,4,2,0,2,2,0,2,5
13131,1,2,5,2,4,2,0,2,2,0,2,5
13132,1,0,5,2,1,6,0,1,3,0,0,0
13133,1,3,5,2,2,6,0,3,3,0,1,0
13134,1,3,6,2,2,5,0,2,0,0,2,2
13135,1,2,1,2,4,2,0,2,2,0,2,5
13136,1,2,1,2,4,2,0,2,2,0,2,5
13137,1,2,1,2,4,2,0,2,2,0,2,5
13138,1,2,5,2,4,6,0,2,3,0,2,0
13139,0,0,0,0,1,4,1,1,5,1,0,6
13140,1,2,6,2,4,5,0,2,2,0,2,5
13141,1,2,1,2,4,2,0,2,2,0,2,5
13142,1,3,6,2,2,5,0,3,0,0,1,2
13143,1,3,6,2,2,5,0,3,0,0,1,2
13144,1,3,6,2,2,5,0,3,0,0,1,2
13145,0,3,6,0,2,5,1,3,0,1,1,2
13146,1,3,6,0,2,5,1,3,0,1,1,2
13147,0,3,6,0,2,5,1,3,0,1,1,2
