Pixel,K_3_0,K_5_0,K_7_0,K_3_25,K_5_25,K_7_25,K_3_50,K_5_50,K_7_50,K_3_100,K_5_100,K_7_100
22108,2,4,0,2,3,5,2,4,1,2,4,1
22109,2,2,2,2,0,3,2,2,4,2,2,4
22110,0,2,6,1,0,0,0,2,0,0,2,0
22111,0,2,6,1,0,0,0,2,0,0,2,0
22112,2,2,6,2,0,3,2,2,4,2,2,4
22113,2,2,2,2,0,3,2,2,4,2,2,4
22114,2,4,2,2,3,5,2,4,1,2,4,1
22115,2,4,0,2,3,5,2,4,1,2,4,1
22116,1,0,4,0,1,1,1,1,2,1,1,2
22117,1,0,4,0,1,1,1,1,2,1,1,2
22118,0,3,1,1,4,6,0,0,6,0,0,6
22119,0,2,6,1,0,3,0,2,4,0,2,4
22120,2,2,2,2,0,3,2,2,4,2,2,4
22121,2,2,2,2,0,3,2,2,4,2,2,4
22122,2,4,2,2,0,3,2,2,4,2,2,4
22123,2,4,0,2,3,5,2,4,1,2,4,1
22124,2,2,2,2,0,3,2,2,4,2,2,4
22125,2,2,6,2,0,3,2,2,4,2,2,4
22126,0,2,6,1,0,3,0,2,4,0,2,4
22127,2,2,2,2,0,3,2,2,4,2,2,4
22128,2,4,0,2,3,5,2,4,1,2,4,1
22129,1,0,0,0,1,5,1,4,1,1,4,1
22130,1,4,0,0,3,5,2,4,1,2,4,1
22131,2,2,6,2,0,3,2,2,4,2,2,4
22132,0,3,6,1,4,0,0,0,0,0,0,0
22133,0,2,6,1,4,0,0,0,0,0,0,0
22134,0,2,6,1,0,0,0,2,0,0,2,0
22135,0,2,6,1,0,0,0,2,4,0,2,4
22136,2,2,2,2,0,3,2,2,4,2,2,4
22137,2,4,0,2,3,5,2,4,4,2,4,4
22138,1,0,4,0,1,1,1,1,2,1,1,2
22139,2,4,0,0,3,5,1,4,1,1,4,1
22140,0,2,6,1,0,3,0,2,4,0,2,4
22141,2,4,2,2,0,3,2,2,4,2,2,4
22142,2,4,2,2,0,3,2,2,4,2,2,4
22143,2,2,2,2,0,3,2,2,4,2,2,4
22144,2,4,2,2,3,3,2,2,4,2,2,4
22145,1,0,0,0,3,5,1,4,1,1,4,1
22146,1,0,4,0,1,1,1,1,2,1,1,2
22147,1,0,4,0,1,1,1,1,2,1,1,2
22148,1,0,4,0,1,1,1,1,2,1,1,2
22149,1,0,4,0,1,1,1,1,2,1,1,2
22150,1,0,4,0,1,1,1,1,2,1,1,2
22151,1,0,4,0,1,1,1,1,2,1,1,2
22152,2,1,3,2,2,2,2,3,3,2,3,3
