Pixel,K_3_0,K_5_0,K_7_0,K_3_25,K_5_25,K_7_25,K_3_50,K_5_50,K_7_50,K_3_100,K_5_100,K_7_100
120,2,2,4,2,4,6,2,3,2,2,2,2
121,2,2,6,2,4,6,2,3,2,2,2,2
122,2,2,6,2,4,6,2,3,2,2,2,2
123,2,2,4,2,4,6,2,3,2,2,2,2
124,1,3,3,2,0,4,2,1,0,2,4,4
125,1,4,3,2,0,4,1,1,0,1,4,4
126,1,3,4,2,0,4,2,1,0,2,4,4
127,2,3,4,2,0,4,2,3,2,2,2,2
128,2,3,4,2,4,6,2,3,2,2,2,2
129,2,3,4,2,4,6,2,3,2,2,2,2
130,2,2,4,2,4,6,2,3,2,2,2,2
131,2,2,4,2,4,6,2,3,2,2,2,2
132,2,2,4,2,4,6,2,3,2,2,2,2
133,2,2,6,2,4,6,2,3,2,2,2,2
134,2,2,6,2,4,6,2,3,2,2,2,2
135,2,2,6,2,4,6,2,3,2,2,2,2
136,2,2,6,2,4,6,2,3,2,2,2,2
137,2,2,6,2,4,6,2,3,2,2,2,2
138,2,2,6,2,4,6,2,3,2,2,2,2
139,2,2,6,2,4,6,2,3,2,2,2,2
140,2,2,6,2,4,6,2,3,2,2,2,2
141,2,2,6,2,4,6,2,3,2,2,2,2
142,2,2,6,2,4,6,2,3,2,2,2,2
143,1,3,4,2,0,4,2,1,0,2,4,4
144,2,3,4,2,4,6,2,3,2,2,2,2
145,2,2,4,2,4,6,2,3,2,2,2,2
146,2,3,4,2,0,4,2,1,0,2,4,4
147,2,3,4,2,0,4,2,1,0,2,4,4
148,2,2,4,2,4,6,2,3,2,2,2,2
149,2,3,4,2,0,4,2,1,0,2,4,4
150,1,3,4,2,0,4,2,1,0,2,4,4
151,1,3,3,2,0,4,2,1,0,2,4,4
152,1,3,4,2,0,4,2,1,0,2,4,4
153,2,3,4,2,4,6,2,3,2,2,2,2
154,2,2,4,2,4,6,2,3,2,2,2,2
155,2,3,4,2,4,6,2,3,2,2,2,2
156,2,3,4,2,4,6,2,3,2,2,2,2
157,2,3,4,2,4,6,2,3,2,2,2,2
158,2,3,4,2,0,4,2,3,0,2,2,4
159,1,3,4,2,0,4,2,1,0,2,4,4
160,1,3,4,2,0,4,2,1,0,2,4,4
161,1,3,3,2,0,4,2,1,0,2,4,4
162,1,3,3,2,0,4,2,1,0,2,4,4
163,1,3,3,2,0,4,2,1,0,2,4,4
164,1,3,3,2,0,4,2,1,0,2,4,4
165,1,3,4,2,0,4,2,1,0,2,4,4
166,2,3,4,2,4,6,2,3,2,2,2,2
167,2,2,4,2,4,6,2,3,2,2,2,2
168,2,3,4,2,4,6,2,3,2,2,2,2
169,2,3,4,2,0,4,2,1,0,2,4,4
170,2,3,4,2,0,6,2,3,2,2,2,2
171,2,2,6,2,4,6,2,3,2,2,2,2
172,2,2,6,2,4,6,2,3,2,2,2,2
173,2,2,4,2,4,6,2,3,2,2,2,2
174,2,2,6,2,4,6,2,3,2,2,2,2
175,2,2,6,2,4,6,2,3,2,2,2,2
176,2,2,6,2,4,6,2,3,2,2,2,2
177,2,2,6,2,4,6,2,3,2,2,2,2
178,2,2,6,2,4,6,2,3,2,2,2,2
179,2,2,6,2,4,6,2,3,2,2,2,2
180,2,2,6,2,4,6,2,3,2,2,2,2
181,2,2,4,2,4,6,2,3,2,2,2,2
182,2,3,4,2,0,4,2,1,0,2,4,4
183,1,3,3,2,0,4,2,1,0,2,4,4
184,1,3,3,2,0,4,2,1,0,2,4,4
185,1,3,4,2,0,4,2,1,0,2,4,4
186,2,3,4,2,0,4,2,1,0,2,4,4
187,2,3,4,2,0,4,2,1,0,2,4,4
188,1,3,4,2,0,4,2,1,0,2,4,4
189,1,3,4,2,0,4,2,1,0,2,4,4
190,2,3,4,2,0,4,2,1,0,2,4,4
191,2,3,4,2,0,4,2,1,0,2,4,4
192,2,3,4,2,0,4,2,1,0,2,4,4
193,2,3,4,2,0,4,2,3,2,2,2,2
194,1,3,4,2,0,4,2,1,0,2,4,4
195,2,3,4,2,0,4,2,3,2,2,2,2
196,2,3,4,2,4,6,2,3,2,2,2,2
197,2,3,4,2,0,4,2,3,2,2,2,2
198,2,3,4,2,4,6,2,3,2,2,2,2
199,1,3,4,2,0,4,2,1,0,2,4,4
200,1,4,3,2,0,4,1,1,0,1,4,4
201,1,3,3,2,0,4,1,1,0,1,4,4
202,1,3,3,2,0,4,2,1,0,2,4,4
203,1,3,3,2,0,4,2,1,0,2,4,4
204,1,3,3,2,0,4,2,1,0,2,4,4
205,1,3,3,2,0,4,2,1,0,2,4,4
206,1,3,4,2,0,4,2,1,0,2,4,4
207,1,3,4,2,0,4,2,1,0,2,4,4
208,2,3,4,2,4,6,2,3,2,2,2,2
209,2,2,4,2,4,6,2,3,2,2,2,2
210,2,2,4,2,4,6,2,3,2,2,2,2
211,2,3,4,2,0,4,2,1,2,2,4,2
212,2,3,4,2,0,4,2,3,2,2,2,2
213,2,2,4,2,4,6,2,3,2,2,2,2
214,2,2,6,2,4,6,2,3,2,2,2,2
215,2,2,4,2,4,6,2,3,2,2,2,2
216,2,2,4,2,4,6,2,3,2,2,2,2
217,2,2,6,2,4,6,2,3,2,2,2,2
218,2,2,6,2,4,6,2,3,2,2,2,2
219,2,2,6,2,4,6,2,3,2,2,2,2
220,2,2,6,2,4,6,2,3,2,2,2,2
221,2,2,6,2,4,6,2,3,2,2,2,2
222,2,2,6,2,4,6,2,3,2,2,2,2
223,2,2,6,2,4,6,2,3,2,2,2,2
224,2,2,6,2,4,6,2,3,2,2,2,2
225,2,2,4,2,4,6,2,3,2,2,2,2
226,2,2,4,2,4,6,2,3,2,2,2,2
227,2,3,4,2,0,4,2,1,0,2,4,4
228,2,3,4,2,0,4,2,1,0,2,4,4
229,2,2,4,2,4,6,2,3,2,2,2,2
230,2,2,4,2,4,6,2,3,2,2,2,2
231,2,3,4,2,0,4,2,1,0,2,4,4
232,1,3,3,2,0,4,2,1,0,2,4,4
233,1,3,4,2,0,4,1,1,0,1,4,4
234,2,2,4,2,4,4,2,3,0,2,4,4
235,2,3,4,2,0,4,2,1,0,2,4,4
236,1,3,4,2,0,4,2,1,0,2,4,4
