Algorithm,Date 1,Date 2,Date 3,Error,K,MAE,Mask,Pairs,Predicted Date,RMSE,R^2,Region,Type,W,correlation,method,signal
Estair,,,,0.037702613,6,0.040497414,None,2,20170802,0.046697339,0.914808223,SCTSCL,Original,7,0.985441699,,NDVI
Estair,,,,0.03760116,8,0.04042743,None,2,20170802,0.046632913,0.915043128,SCTSCL,Original,7,0.985344292,,NDVI
Estair,,,,0.037663467,4,0.040436282,None,2,20170802,0.046642239,0.915009145,SCTSCL,Original,9,0.985466302,,NDVI
Estair,,,,0.037694435,6,0.040462429,None,2,20170802,0.046666719,0.914919909,SCTSCL,Original,9,0.985493097,,NDVI
Estair,,,,0.037610599,8,0.040412671,None,2,20170802,0.046623068,0.915078996,SCTSCL,Original,9,0.98542106,,NDVI
stair,,,,-0.026234553,,0.089737769,None,2,20170802,0.130271285,0.711087134,BenRib,Original,,0.873637761,,NDVI
stair,,,,0.009538684,,0.059159186,None,4,20170811,0.112460917,0.61014012,BGL,Original,,0.82296635,,NDVI
stair,,,,-0.021784795,,0.043378095,None,5,20170811,0.052102923,0.863187683,Santar,Original,,0.945121876,,NDVI
stair,,,,-0.024182696,,0.050453943,None,2,20170802,0.064492223,0.837509447,SCTSCL,Original,,0.92945442,,NDVI
ESTARFM,20170717,20170818,,0.003067957,4,0.05812141,None,,20170802,0.097027847,0.839726295,BenRib,Original,3,0.938825003,,NDVI
ESTARFM,20170717,20170818,,0.004013785,6,0.058228044,None,,20170802,0.097962953,0.836622132,BenRib,Original,3,0.935865885,,NDVI
ESTARFM,20170717,20170818,,0.003947086,8,0.058200054,None,,20170802,0.098549987,0.834658211,BenRib,Original,3,0.934435155,,NDVI
ESTARFM,20170717,20170818,,0.00189436,4,0.05900069,None,,20170802,0.09832863,0.83540014,BenRib,Original,5,0.935702918,,NDVI
ESTARFM,20170717,20170818,,0.00318844,6,0.059035143,None,,20170802,0.099821847,0.830362959,BenRib,Original,5,0.931507033,,NDVI
ESTARFM,20170717,20170818,,0.002967234,8,0.059104987,None,,20170802,0.100781844,0.827084433,BenRib,Original,5,0.92952276,,NDVI
ESTARFM,20170717,20170818,,0.000997496,4,0.059565204,None,,20170802,0.099450617,0.831622347,BenRib,Original,7,0.932992773,,NDVI
ESTARFM,20170717,20170818,,0.002515394,6,0.059518891,None,,20170802,0.100763267,0.827148176,BenRib,Original,7,0.929394791,,NDVI
